hour,temperature,description,wind_label,wind_value,etat,fps_text
N/A,N/A,N/A,N/A,N/A,N/A,N/A
18:00,21°,Brume de poussière,Nord-est,10 - 25 km/h : 10,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
19:00,20°,Brume de poussière,Nord,6 - 28 km/h : 6,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
20:00,20°,Brume de poussière,Nord,3 - 12 km/h : 3,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
21:00,20°,Brume de poussière,Nord,9 - 15 km/h : 9,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
22:00,19°,Brume de poussière,Nord,8 - 20 km/h : 8,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
23:00,19°,Brume de poussière,Nord-ouest,6 - 14 km/h : 6,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
24:00,18°,Brume de poussière,Nord-ouest,6 - 12 km/h : 6,0 Faible,FPS: non
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
